I,p,w,x
188,320,325,0
189,64,65,0
190,1281,1204,1
191,192,195,0
192,1281,1204,1
193,1281,1204,1
194,1830,1720,1
195,448,455,0
196,576,585,0
197,1647,1548,1
198,128,130,0
199,183,172,1
200,576,585,0
201,512,520,0
202,1281,1204,1
203,320,325,0
204,192,195,0
205,576,585,0
206,366,344,1
207,1830,1720,1
208,732,688,1
209,1830,1720,1
210,448,455,0
211,549,516,1
212,576,585,0
213,384,390,0
214,384,390,0
215,640,650,0
216,320,325,0
217,128,130,0
218,512,520,0
219,1464,1376,1
220,915,860,1
221,1830,1720,1
222,384,390,0
223,256,260,0
224,576,585,0
225,1830,1720,1
226,576,585,0
227,732,688,1
228,1830,1720,1
229,192,195,0
230,640,650,0
231,192,195,0
232,915,860,1
233,1647,1548,1
234,1464,1376,1
235,915,860,1
236,320,325,0
237,576,585,0
238,183,172,1
239,915,860,1
240,915,860,1
241,1281,1204,1
242,256,260,0
243,576,585,0
244,640,650,0
245,576,585,0
246,1098,1032,1
247,1830,1720,1
248,1098,1032,1
249,384,390,0
250,576,585,0
251,1098,1032,1
252,915,860,1
253,192,195,0
254,384,390,0
255,640,650,0
256,1281,1204,1
257,915,860,1
258,1830,1720,1
259,512,520,0
260,1281,1204,1
261,1647,1548,1
262,1098,1032,1
263,183,172,1
264,1830,1720,1
265,384,390,0
266,1098,1032,1
267,915,860,1
268,448,455,0
269,915,860,1
270,366,344,1
271,183,172,1
272,1464,1376,1
273,384,390,0
274,1281,1204,1
275,576,585,0
276,1464,1376,1
277,549,516,1
278,1098,1032,1
279,448,455,0
280,192,195,0
281,366,344,1
282,128,130,0
283,1830,1720,1
284,384,390,0
285,1281,1204,1
286,64,65,0
287,183,172,1
288,1647,1548,1
289,512,520,0
290,1464,1376,1
291,1464,1376,1
292,1647,1548,1
293,1647,1548,1
294,256,260,0
295,576,585,0
296,732,688,1
297,448,455,0
298,320,325,0
299,512,520,0
300,448,455,0
301,256,260,0
302,128,130,0
303,256,260,0
304,1464,1376,1
305,549,516,1
306,1281,1204,1
307,640,650,0
308,1830,1720,1
309,1098,1032,1
310,366,344,1
311,1098,1032,1
312,192,195,0
313,384,390,0
314,1098,1032,1
315,732,688,1
316,576,585,0
317,732,688,1
318,448,455,0
319,128,130,0
320,320,325,0
321,1830,1720,1
322,549,516,1
323,183,172,1
324,732,688,1
325,448,455,0
326,576,585,0
327,576,585,0
328,320,325,0
329,1647,1548,1
330,1647,1548,1
331,1647,1548,1
332,640,650,0
333,915,860,1
334,1647,1548,1
335,320,325,0
336,576,585,0
337,384,390,1
338,549,516,1
339,549,516,1
340,256,260,1
341,915,860,1
342,64,65,1
343,366,344,1
344,576,585,1
345,366,344,1
346,915,860,1
347,1281,1204,1
348,366,344,1
349,1647,1548,1
350,183,172,1
351,64,65,1
352,192,195,1
353,1098,1032,1
354,1830,1720,1
355,512,520,1
356,128,130,1
357,366,344,1
358,1830,1720,1
359,320,325,1
360,1098,1032,1
361,1647,1548,1
362,732,688,1
363,64,65,1
364,128,130,1
365,1281,1204,1
366,640,650,1
367,512,520,1
368,549,516,1
369,64,65,1
370,640,650,1
371,1464,1376,1
372,576,585,1
373,64,65,1
374,256,260,1
375,1647,1548,1
376,915,860,1
377,384,390,1
378,448,455,1
379,1281,1204,1
380,1647,1548,1
381,915,860,1
382,549,516,1
383,320,325,0
384,448,455,0
385,1464,1376,1
386,732,688,1
387,384,390,1
388,256,260,1
389,1647,1548,1
390,1464,1376,1
391,448,455,1
392,915,860,1
393,448,455,1
394,640,650,1
395,549,516,1
396,320,325,1
397,732,688,1
398,366,344,1
399,1464,1376,1
400,183,172,1
401,512,520,1
402,384,390,1
403,366,344,1
404,1281,1204,1
405,320,325,1
406,256,260,1
407,576,585,1
408,1464,1376,1
409,1647,1548,1
410,320,325,1
411,1647,1548,1
412,256,260,1
413,384,390,1
414,192,195,1
415,128,130,1
416,1281,1204,1
417,512,520,1
418,128,130,1
419,366,344,1
420,732,688,1
421,64,65,1
422,366,344,1
423,192,195,1
424,1464,1376,1
425,448,455,1
426,256,260,1
427,732,688,1
428,512,520,1
429,1098,1032,1
430,549,516,1
431,1464,1376,1
432,1464,1376,1
433,366,344,1
434,732,688,1
435,320,325,1
436,732,688,1
437,915,860,1
438,256,260,1
439,1464,1376,1
440,549,516,1
441,1464,1376,1
442,1464,1376,1
443,448,455,1
444,576,585,1
445,915,860,1
446,1281,1204,1
447,1281,1204,1
448,576,585,1
449,915,860,1
450,915,860,1
451,183,172,1
452,366,344,1
453,732,688,1
454,256,260,1
455,576,585,1
456,128,130,1
457,448,455,1
458,128,130,1
459,192,195,1
460,512,520,1
461,512,520,0
462,64,65,0
463,384,390,0
464,576,585,0
465,1647,1548,1
466,192,195,0
467,192,195,1
468,256,260,1
469,448,455,1
470,256,260,1
471,1464,1376,1
472,915,860,1
473,448,455,1
474,1098,1032,1
475,1830,1720,1
476,1464,1376,1
477,384,390,1
478,512,520,1
479,128,130,1
480,1281,1204,1
481,512,520,1
482,1098,1032,1
483,1830,1720,1
484,384,390,1
485,1464,1376,1
486,915,860,1
487,320,325,1
488,1830,1720,1
489,366,344,1
490,915,860,1
491,320,325,1
492,128,130,1
493,1098,1032,1
494,64,65,1
495,1281,1204,1
496,1647,1548,1
497,64,65,1
498,384,390,1
499,192,195,1
500,576,585,0
